tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize
115,3,200,WizardOfWor-v0,0.0,0.0,0.0,0.0,44
116,3,200,TimePilot-v0,0.0,200.0,17.2566371681,0.149459193707,9
117,3,200,DoubleDunk-v0,-2.0,2.0,-0.0420168067227,0.866479925303,32
118,3,200,Skiing-v0,-1052.0,-932.0,-998.434210526,0.783528806584,16
119,3,200,Frostbite-v0,0.0,80.0,21.7094017094,0.478869895537,6
120,3,200,WizardOfWor-v0,0.0,0.0,0.0,0.0,6
121,3,200,Alien-v0,0.0,140.0,97.3913043478,0.735403726708,40
122,3,200,FishingDerby-v0,-6.0,-4.0,-5.99152542373,0.00376647834275,15
123,3,200,DoubleDunk-v0,-2.0,2.0,-0.0502092050209,0.862854486285,32
124,3,200,TimePilot-v0,0.0,200.0,23.3333333333,0.203703703704,9
125,3,200,MsPacman-v0,60.0,160.0,67.8991596639,0.156115779645,44
126,3,200,RoadRunner-v0,0.0,200.0,68.6440677966,0.312617702448,6
127,3,200,FishingDerby-v0,-6.0,-2.0,-5.98347107438,0.00367309458219,3
128,3,200,Frostbite-v0,0.0,40.0,21.7573221757,0.48349604835,6
129,3,200,MsPacman-v0,50.0,220.0,80.5179282869,0.355486933466,26
130,3,200,WizardOfWor-v0,0.0,100.0,0.401606425703,0.00356983489514,11
131,3,200,Skiing-v0,-1062.0,-940.0,-996.607287449,0.872178585923,30
132,3,200,Alien-v0,0.0,210.0,113.580246914,0.849712846577,40
133,3,200,TimePilot-v0,0.0,200.0,19.7478991597,0.164332399627,9
134,3,200,RoadRunner-v0,0.0,200.0,92.4369747899,0.429505135387,6
135,3,200,DoubleDunk-v0,-2.0,2.0,-0.0675105485232,0.855133614627,32
136,4,200,DoubleDunk-v0,-2.0,2.0,-0.00854700854701,0.881291547958,32
137,4,200,Centipede-v0,0.0,2010.0,102.497942387,0.0989566165265,95
138,4,200,MsPacman-v0,50.0,220.0,68.3404255319,0.250286714602,18
139,4,200,UpNDown-v0,10.0,970.0,70.8898305085,0.143896964585,54
140,4,200,Alien-v0,0.0,140.0,109.583333333,0.812925170068,40
141,4,200,BattleZone-v0,0.0,1000.0,133.620689655,0.11877394636,44
142,4,200,Frostbite-v0,0.0,70.0,32.6778242678,0.768052827826,53
143,4,200,RoadRunner-v0,0.0,400.0,119.491525424,0.533898305085,53
144,4,200,Skiing-v0,-1073.0,-940.0,-997.347826087,0.905253653912,30
145,4,200,Centipede-v0,0.0,1231.0,86.1681415929,0.115514006143,30
146,4,200,UpNDown-v0,10.0,520.0,70.046728972,0.248120880099,44
147,4,200,Skiing-v0,-1048.0,-934.0,-995.825688073,0.803864374171,73
148,4,200,DoubleDunk-v0,-2.0,2.0,-0.0730593607306,0.852359208524,6
149,4,200,RoadRunner-v0,0.0,400.0,147.844827586,0.649904214559,53
