tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,scoreDoubleDunk-v0,scoreFishingDerby-v0,scoreFreeway-v0,scoreFrostbite-v0,scoreGravitar-v0,scoreHero-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visDoubleDunk-v0,visFishingDerby-v0,visFreeway-v0,visFrostbite-v0,visGravitar-v0,visHero-v0,visTotal
180,36,5000,45586,30.0,296.6666666666667,1500.0,3.0,500.0,0.0,-25.7,1210.5,1106.6666666666667,-0.8,-96.33333333333333,0.0,178.66666666666666,33.333333333333336,0.0,0.0008035714285714286,0.017232142857142856,0.0075297619047619046,0.007275,0.02095238095238095,0.0008035714285714286,0.0008035714285714286,0.012725,0.0008035714285714286,0.0048,0.0024404761904761904,0.0008035714285714286,0.0024404761904761904,0.015178571428571428,0.004970238095238095,0.04
180,36,5000,42621,240.33333333333334,273.0,1580.0,1.3333333333333333,4233.333333333333,0.0,-2.7,195.03333333333333,166.66666666666666,-0.6666666666666666,-93.73333333333333,22.966666666666665,26.0,16.666666666666668,0.0,0.0047321428571428575,0.019523809523809523,0.007410714285714286,0.011375,0.02050595238095238,0.0033035714285714287,0.0033035714285714287,0.0044,0.006636904761904762,0.00835,0.005892857142857143,0.004315476190476191,0.005,0.01017857142857143,0.004434523809523809,0.03446428571428571
180,36,5000,44322,120.33333333333333,212.33333333333334,27966.666666666668,12.333333333333334,3700.0,0.0,-3.933333333333333,775.9,86.66666666666667,-1.6666666666666667,-99.0,20.466666666666665,22.666666666666668,16.666666666666668,0.0,0.0025595238095238097,0.021845238095238095,0.00824404761904762,0.008575,0.012738095238095238,0.0015773809523809523,0.0016071428571428571,0.01145,0.004226190476190476,0.00875,0.0034821428571428573,0.002172619047619048,0.0028273809523809523,0.008452380952380953,0.0037797619047619047,0.03892857142857143
180,36,5000,41060,237.33333333333334,360.6666666666667,1520.0,4.0,3866.6666666666665,0.0,-1.8666666666666667,641.0,186.66666666666666,-0.8,-99.0,21.733333333333334,32.666666666666664,0.0,0.0,0.003869047619047619,0.02675595238095238,0.005089285714285715,0.01625,0.030089285714285714,0.0025,0.0027678571428571427,0.02165,0.006190476190476191,0.01595,0.007291666666666667,0.003958333333333334,0.004136904761904762,0.009702380952380952,0.0038095238095238095,0.06282738095238095
180,36,5000,39699,0.0,580.6666666666666,1560.0,1.3333333333333333,2133.3333333333335,0.0,-6.433333333333334,3000.8,500.0,-1.4666666666666666,-99.0,21.366666666666667,0.0,8.333333333333334,0.0,0.002142857142857143,0.022708333333333334,0.0039880952380952385,0.008175,0.01669642857142857,0.002886904761904762,0.003630952380952381,0.013575,0.003273809523809524,0.01185,0.006190476190476191,0.0033333333333333335,0.0034821428571428573,0.004404761904761904,0.0028273809523809523,0.03898809523809524
240,48,10000,57541,3.0,498.6666666666667,1500.0,2.6666666666666665,1933.3333333333333,78.83333333333333,-21.733333333333334,177.66666666666666,226.66666666666666,-1.0,-90.26666666666667,22.066666666666666,29.0,75.0,0.0,0.006339285714285714,0.024851190476190475,0.008095238095238095,0.0098,0.02494047619047619,0.0027083333333333334,0.005,0.003525,0.009464285714285715,0.010825,0.0077083333333333335,0.004226190476190476,0.007738095238095238,0.01794642857142857,0.006994047619047619,0.05345238095238095
240,48,10000,6850,0.0,211.66666666666666,1540.0,0.0,2000.0,0.0,-24.3,8014.9,503.3333333333333,-1.0,-99.0,21.866666666666667,0.0,0.0,0.0,0.002529761904761905,0.014136904761904762,0.002380952380952381,0.003825,0.0033035714285714287,0.002232142857142857,0.0022916666666666667,0.014125,0.002589285714285714,0.006825,0.0026785714285714286,0.002529761904761905,0.002529761904761905,0.008511904761904762,0.0028273809523809523,0.02705357142857143
240,48,10000,56242,266.0,203.0,1500.0,2.0,3133.3333333333335,0.0,-1.9333333333333333,179.7,213.33333333333334,-1.1333333333333333,-93.6,21.333333333333332,24.666666666666668,11.666666666666666,0.0,0.0047321428571428575,0.021220238095238094,0.006279761904761905,0.0105,0.023035714285714284,0.0033035714285714287,0.0033035714285714287,0.007225,0.006636904761904762,0.0089,0.005922619047619047,0.004345238095238096,0.005,0.015476190476190477,0.004613095238095238,0.03848214285714286
240,48,10000,59377,30.0,154.0,1546.6666666666667,0.3333333333333333,2300.0,0.0,-0.5,1374.9666666666667,823.3333333333334,-1.0666666666666667,-98.8,22.366666666666667,33.666666666666664,11.666666666666666,0.0,0.004255952380952381,0.01982142857142857,0.011577380952380952,0.00505,0.017261904761904763,0.005089285714285715,0.005773809523809524,0.0063,0.004791666666666666,0.006225,0.007857142857142858,0.005952380952380952,0.009136904761904763,0.011279761904761905,0.005922619047619047,0.037142857142857144
240,48,10000,51695,0.0,544.0,1500.0,0.0,1733.3333333333333,0.0,-25.366666666666667,2387.2,503.3333333333333,-0.4666666666666667,-98.86666666666666,21.766666666666666,0.0,15.0,0.0,0.0020238095238095236,0.027202380952380954,0.002886904761904762,0.005925,0.013422619047619048,0.001636904761904762,0.0020238095238095236,0.01465,0.002113095238095238,0.0107,0.004583333333333333,0.002113095238095238,0.002232142857142857,0.017738095238095237,0.002619047619047619,0.04151785714285714
