tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
230,66.05910894036293,BankHeist-v0/BattleZone-v0,0.0,0.7714285714285715,0.12755570117955453,297,64065,735,428
231,66.30359473824501,Asteroids-v0/BankHeist-v0,0.0,0.7999999999999999,0.15551673157970017,327,64725,745,428
232,66.5245233899355,Asteroids-v0/BattleZone-v0,0.0,0.7931330472103004,0.321499051668319,345,58208,743,432
233,66.73962394012345,Alien-v0/BattleZone-v0,0.0,0.6086956521739131,0.31469260409477784,318,62845,749,423
234,66.92401017944017,Alien-v0/Asteroids-v0,0.0,0.5324675324675324,0.21580389222233223,333,65940,745,426
235,67.16123888565434,Asteroids-v0/BankHeist-v0,0.0,0.5714285714285714,0.17557406729941935,327,64725,744,432
236,67.44368844648203,Atlantis-v0/BankHeist-v0,0.0,0.6874999999999999,0.2002103434413048,289,66347,742,427
237,67.65722743226422,Alien-v0/Atlantis-v0,0.0,0.5520330806340455,0.24143380254767538,336,65940,744,430
238,67.9207164459096,Alien-v0/Centipede-v0,0.0,0.49324324324324326,0.25872137671258894,333,65940,729,422
239,68.17744969222281,Atlantis-v0/Centipede-v0,0.0,0.8899554975651809,0.3408225989830005,295,67254,741,426
240,68.38661982079347,Asteroids-v0/Atlantis-v0,0.0,0.6030368763557483,0.27694968637052164,320,65845,762,428
241,68.6906571696202,Asteroids-v0/Boxing-v0,0.0,0.8387978142076502,0.3701333196186791,320,65845,759,436
