tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
12,2.635291408565309,BankHeist-v0,0.0,76.66666666666667,2.972774098601911,20,3677
12,2.7660886173115835,Bowling-v0,0.0,32.333333333333336,0.562178072111847,6,3607
12,2.7983939236402513,Centipede-v0,155.0,16418.0,3297.397350993379,6,3426
12,2.8343638455205493,Alien-v0,0.0,330.0,66.93892568064754,10,2451
13,2.9641095548205905,Bowling-v0,0.0,37.333333333333336,1.2919540229885058,6,3825
13,2.9956540316343307,Centipede-v0,155.0,16418.0,3477.688888888888,6,3426
13,3.0189982037411798,Alien-v0,0.0,330.0,72.26819923371649,10,2451
13,3.085817970501052,Boxing-v0,-100.0,10.0,-34.91724137931032,10,1134
14,3.128764079478052,Centipede-v0,155.0,16418.0,3610.2721238938093,6,3426
14,3.1544403811295827,Alien-v0,0.0,493.3333333333333,84.41002949852506,21,4264
14,3.2163489917251797,Boxing-v0,-100.0,10.0,-34.686578171091455,10,1134
14,3.243735493487782,Atlantis-v0,1500.0,53033.333333333336,3251.991150442477,15,4053
15,3.2719954372114604,Alien-v0,0.0,493.3333333333333,96.47684130599848,21,4264
15,3.3227694567044574,Boxing-v0,-100.0,10.0,-36.002277904328004,10,1134
15,3.3432594427135256,Atlantis-v0,1500.0,53033.333333333336,4493.090356871679,15,4053
15,3.4337064774168864,BattleZone-v0,0.0,15000.0,2983.295368261198,10,2133
16,3.493284900519583,Boxing-v0,-100.0,10.0,-35.15745007680493,10,1134
16,3.5159730934434466,Atlantis-v0,1500.0,56733.333333333336,5667.972350230416,15,4663
16,3.574534576336543,BattleZone-v0,0.0,15000.0,3397.849462365591,10,2133
16,3.6051299285888674,Asteroids-v0,100.0,2140.0,303.778801843318,6,1121
17,3.6338900243573717,Atlantis-v0,1500.0,56733.333333333336,6264.674329501911,15,4663
17,3.6901588391595417,BattleZone-v0,0.0,15000.0,3650.574712643677,10,2133
17,3.713569568064478,Asteroids-v0,100.0,2140.0,362.88122605363986,6,1121
17,3.821362382968267,BankHeist-v0,0.0,40.0,2.475095785440614,10,2999
18,3.8914509461985696,BattleZone-v0,0.0,15000.0,3438.7905604719754,10,2133
18,3.9138582975996865,Asteroids-v0,100.0,2143.3333333333335,414.3436578171095,6,5331
18,3.997302577892939,BankHeist-v0,0.0,40.0,3.5766961651917404,10,2999
18,4.028487066427867,Alien-v0,0.0,500.0,109.25516224188793,19,5024
19,4.059725480940607,Asteroids-v0,100.0,2193.3333333333335,496.3273001508294,11,5613
19,4.122479561964671,BankHeist-v0,0.0,46.666666666666664,6.877828054298645,33,5563
19,4.1483272095521295,Alien-v0,0.0,536.6666666666666,121.30467571644041,10,5538
19,4.219823038710488,Boxing-v0,-100.0,10.0,-42.785822021116104,10,1134
20,4.280734625856081,BankHeist-v0,0.0,46.666666666666664,7.757153905645789,33,5563
20,4.305673491623667,Alien-v0,0.0,536.6666666666666,156.20262954369684,10,5538
20,4.364285154541333,Boxing-v0,-100.0,10.0,-45.76875483372003,10,1134
20,4.409356455140643,Centipede-v0,157.33333333333334,12968.0,2893.8538283062617,6,5918
21,4.439198710189926,Alien-v0,0.0,833.3333333333334,173.04119850187274,24,5990
21,4.4911364881197615,Boxing-v0,-100.0,10.0,-44.57977528089891,10,1134
