tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
37,10.280742050740454,BankHeist-v0,0.0,40.0,6.7769897557131635,171,10308
37,10.402952881124284,Centipede-v0,165.0,15876.666666666666,4533.96769109535,59,10164
38,10.51196290506257,Centipede-v0,150.0,15876.666666666666,5929.050113895217,59,10164
38,10.591316513816516,Asteroids-v0,100.0,2786.6666666666665,826.1807137433568,81,11350
39,10.660037672321002,Asteroids-v0,100.0,3370.0,1040.4403948367508,36,11605
39,10.81530263695452,BankHeist-v0,0.0,46.666666666666664,6.537585421412299,68,11498
40,10.940333430568376,BankHeist-v0,0.0,46.666666666666664,8.566066066066066,68,11498
40,11.106123556163576,BattleZone-v0,0.0,17333.333333333332,3643.3933933933927,37,11865
41,11.23986211710506,BattleZone-v0,0.0,18666.666666666668,4469.38775510204,18,12324
41,11.310288282765283,Asteroids-v0,100.0,3763.3333333333335,1015.177626606198,35,11919
42,11.374027369618416,Asteroids-v0,110.0,4126.666666666667,1181.7131782945733,39,12399
42,11.694694908459981,Bowling-v0,0.0,102.66666666666667,30.10232558139535,36,12431
43,11.913188227083948,Bowling-v0,0.0,103.66666666666667,41.02647975077882,34,12804
43,12.043249921533796,Centipede-v0,163.66666666666666,12925.333333333334,5489.468847352025,5,12780
44,12.153317467106714,Centipede-v0,163.33333333333334,16418.0,6810.486046511629,97,13057
44,12.280648860004213,Atlantis-v0,1500.0,59100.0,14926.356589147284,74,12820
45,12.380575037466155,Atlantis-v0,1500.0,63200.0,19619.406392694073,89,13387
45,12.46983567893505,Alien-v0,0.0,376.6666666666667,180.806697108067,36,12993
46,12.541562811864747,Alien-v0,0.0,376.6666666666667,193.91570881226062,36,12993
46,12.729873642722765,BankHeist-v0,0.0,43.333333333333336,5.448275862068971,44,13535
47,12.862103932301203,BankHeist-v0,0.0,43.333333333333336,7.682170542635655,44,13535
47,12.984991597400771,Atlantis-v0,1500.0,63200.0,22666.279069767425,89,13387
48,13.088273912933138,Atlantis-v0,1500.0,63200.0,23918.672839506176,89,13387
