tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0
10,1.9182224620713129,431,-999999,730.0,1700.0,0.0,0.0,-999999,-54.0,1651.0
10,1.9182224980327818,433,-999999,130.0,1500.0,0.0,333.3333333333333,-999999,-3.3333333333333335,165.0
10,1.918222535583708,436,-999999,156.66666666666666,10933.333333333334,0.0,1000.0,-999999,-39.0,6166.0
10,1.9182225780354605,440,-999999,183.33333333333334,1733.3333333333333,0.0,0.0,-999999,-2.6666666666666665,4068.6666666666665
10,1.9182226179705726,445,-999999,190.0,1500.0,0.0,-999999,-999999,-4.333333333333333,4416.333333333333
10,1.9182226541307237,449,-999999,110.0,1700.0,0.0,2000.0,-999999,-33.0,2917.6666666666665
10,1.9182226900921928,459,-999999,136.66666666666666,28833.333333333332,0.0,2666.6666666666665,-999999,-41.0,4893.333333333333
10,1.9182227243979773,470,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999
10,1.918222761882676,487,-999999,110.0,1700.0,0.0,666.6666666666666,-999999,-30.0,181.0
10,1.9182227979765998,505,-999999,110.0,1733.3333333333333,0.0,5000.0,-999999,-47.0,180.0
10,1.9182228340705236,506,-999999,116.66666666666667,1733.3333333333333,0.0,333.3333333333333,-999999,-33.0,190.0
10,1.918222870959176,511,-999999,163.33333333333334,1700.0,0.0,3000.0,-999999,-30.0,6509.333333333333
10,1.9182229079140558,515,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999
10,1.9182229412264293,540,-999999,196.66666666666666,1700.0,0.0,2000.0,-999999,-30.666666666666668,565.3333333333334
10,1.9182229790422651,557,-999999,110.0,7033.333333333333,0.0,3000.0,-999999,-100.0,1480.3333333333333
10,1.918223016526964,569,-999999,110.0,1700.0,0.0,-999999,-999999,-54.0,-999999
10,1.9182230526208877,575,-999999,120.0,1733.3333333333333,0.0,9000.0,-999999,-41.0,180.0
10,1.9182230897082222,579,-999999,150.0,1700.0,0.0,0.0,-999999,-32.666666666666664,4224.666666666667
10,1.9182231260670557,583,-999999,200.0,1500.0,0.0,1000.0,-999999,-2.0,1798.3333333333333
10,1.9182231622272068,591,-999999,276.6666666666667,1900.0,0.0,11000.0,-999999,-31.333333333333332,6283.0
10,1.9182232083214654,631,-999999,110.0,1500.0,0.0,-999999,-999999,-23.333333333333332,-999999
10,1.9182232440842522,642,-999999,173.33333333333334,2033.3333333333333,0.0,5000.0,-999999,-0.3333333333333333,180.0
10,1.9182232822312248,718,-999999,223.33333333333334,1500.0,0.0,0.0,-999999,-10.333333333333334,165.0
10,1.9182233185238309,724,-999999,140.0,7900.0,-999999,0.0,-999999,-100.0,-999999
