tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
63,2,200,ChopperCommand-v0,0.0,400.0,127.865612648,0.568950373298,63,751,515
64,2,200,FishingDerby-v0,-6.0,-4.0,-5.98834951456,0.00517799352751,13,751,510
65,2,200,Atlantis-v0,0.0,400.0,8.62745098039,0.0248366013072,17,750,496
66,2,200,Alien-v0,0.0,140.0,89.0120967742,0.735132762783,12,751,509
67,2,200,Boxing-v0,-19.0,1.0,-1.05500982318,0.921161318489,11,750,511
68,2,200,BankHeist-v0,0.0,10.0,0.0195694716243,0.00173950858882,11,750,512
69,2,200,DoubleDunk-v0,-2.0,2.0,-0.01953125,0.876736111111,20,751,516
70,2,200,Frostbite-v0,0.0,50.0,3.29457364341,0.0842032730405,54,750,511
71,2,200,BattleZone-v0,0.0,1000.0,15.6555772994,0.0139160687106,6,751,513
72,2,200,Freeway-v0,0.0,3.0,0.115009746589,0.0556397853344,7,750,507
73,2,200,Frostbite-v0,0.0,80.0,4.31952662722,0.094838921762,6,750,504
74,2,200,ChopperCommand-v0,0.0,400.0,150.992063492,0.660714285714,21,751,490
75,2,200,Atlantis-v0,0.0,400.0,10.4081632653,0.0301587301587,18,751,493
76,2,200,Centipede-v0,0.0,2032.0,177.582150101,0.192655946277,10,751,493
77,2,200,Boxing-v0,-19.0,1.0,-0.649087221095,0.927861167455,11,750,502
78,2,200,FishingDerby-v0,-6.0,4.0,-5.93227091633,0.011969898185,23,750,493
79,2,200,BankHeist-v0,0.0,10.0,0.0202839756592,0.0018030200586,6,751,494
80,2,200,Freeway-v0,0.0,3.0,0.0951417004049,0.0457839756085,39,750,502
81,2,200,Alien-v0,0.0,140.0,85.9760956175,0.661770152948,6,750,502
82,2,200,DoubleDunk-v0,-2.0,2.0,-0.0796812749004,0.851704293935,20,750,500
83,2,200,BattleZone-v0,0.0,1000.0,30.0,0.0266666666667,6,751,498
84,2,200,Asteroids-v0,0.0,430.0,42.8313253012,0.214173682893,70,750,497
85,2,200,Freeway-v0,0.0,2.0,0.116700201207,0.0518667560921,39,750,496
86,2,200,Boxing-v0,-19.0,1.0,-0.965725806452,0.912284946237,11,751,504
87,2,200,Frostbite-v0,0.0,70.0,5.41666666667,0.123060864557,11,750,501
88,2,200,FishingDerby-v0,-6.0,4.0,-5.97205588822,0.00361942781104,23,751,507
89,2,200,Centipede-v0,0.0,1811.0,201.270216963,0.238915024696,36,750,509
90,2,200,DoubleDunk-v0,-2.0,2.0,-0.135559921415,0.82536564069,7,751,510
91,2,200,Atlantis-v0,0.0,400.0,9.01960784314,0.0244008714597,94,751,513
92,2,200,ChopperCommand-v0,0.0,600.0,136.842105263,0.466488580849,12,751,495
93,2,200,BattleZone-v0,0.0,1000.0,20.202020202,0.0179573512907,6,751,501
94,2,200,Alien-v0,0.0,140.0,98.1437125749,0.734349894316,3,751,497
95,2,200,Asteroids-v0,0.0,430.0,42.5955734406,0.209234252943,70,751,496
96,2,200,BankHeist-v0,0.0,10.0,0.0403225806452,0.00358422939068,114,750,497
97,2,200,Boxing-v0,-19.0,1.0,-1.04024144869,0.916217303823,11,751,494
98,2,200,BankHeist-v0,0.0,10.0,0.0404858299595,0.00359874044085,6,750,491
99,2,200,Freeway-v0,0.0,2.0,0.0977596741344,0.0434487440597,10,750,485
100,2,200,Atlantis-v0,0.0,400.0,6.18556701031,0.0146620847652,17,751,483
101,2,200,Asteroids-v0,0.0,430.0,43.850931677,0.224936713097,11,751,498
102,2,200,Frostbite-v0,0.0,60.0,8.25301204819,0.20982696217,28,751,511
103,2,200,ChopperCommand-v0,0.0,600.0,114.872798434,0.392549104878,12,751,499
104,2,200,Centipede-v0,0.0,2232.0,184.921843687,0.188695791341,6,751,490
105,2,200,DoubleDunk-v0,-2.0,2.0,-0.102040816327,0.838095238095,20,750,479
106,2,200,Alien-v0,0.0,140.0,78.9770354906,0.575499789338,6,750,479
107,2,200,FishingDerby-v0,-6.0,-6.0,-6.0,0.0,4,751,481
108,2,200,BattleZone-v0,0.0,1000.0,41.58004158,0.03696003696,6,750,470
109,2,200,DoubleDunk-v0,-4.0,2.0,-0.0957446808511,0.970843183609,4,751,482
110,2,200,BattleZone-v0,0.0,1000.0,43.5684647303,0.0387275242047,6,751,486
111,2,200,Freeway-v0,0.0,2.0,0.133744855967,0.0640146319159,6,751,481
112,2,200,Atlantis-v0,0.0,700.0,25.7796257796,0.0607954893669,57,751,486
113,2,200,BankHeist-v0,0.0,10.0,0.082304526749,0.00731595793324,6,751,479
114,2,200,Asteroids-v0,0.0,480.0,44.0501043841,0.198004458878,37,750,468
115,2,200,Frostbite-v0,0.0,40.0,7.5641025641,0.17094017094,6,750,474
116,2,200,Centipede-v0,0.0,2235.0,233.812236287,0.227513918267,10,751,480
117,2,200,Boxing-v0,-19.0,1.0,-1.74375,0.908324074074,11,750,475
118,2,200,FishingDerby-v0,-6.0,-6.0,-6.0,0.0,6,750,471
119,2,200,ChopperCommand-v0,0.0,600.0,121.44373673,0.421273361118,12,750,477
120,2,200,Alien-v0,0.0,140.0,103.878406709,0.739732930209,10,751,475
121,3,200,Centipede-v0,0.0,2235.0,207.347368421,0.207962012564,10,750,485
122,3,200,Gravitar-v0,0.0,0.0,0.0,0.0,6,750,469
123,3,200,BattleZone-v0,0.0,1000.0,31.9829424307,0.0284292821606,6,751,479
124,3,200,DoubleDunk-v0,-4.0,0.0,-0.104384133612,0.887033170958,6,750,475
125,3,200,Alien-v0,0.0,140.0,101.831578947,0.692130325815,10,750,468
126,3,200,Asteroids-v0,0.0,480.0,40.5128205128,0.181172180015,11,750,459
127,3,200,Boxing-v0,-19.0,1.0,-1.30718954248,0.900285645122,11,750,459
128,3,200,Bowling-v0,0.0,0.0,0.0,0.0,6,750,455
129,3,200,ChopperCommand-v0,0.0,300.0,135.384615385,0.689404422738,16,750,461
130,3,200,BattleZone-v0,0.0,1000.0,13.0151843818,0.0115690527838,6,751,459
131,3,200,Asteroids-v0,0.0,430.0,52.5925925926,0.261478755715,11,750,455
132,3,200,ChopperCommand-v0,0.0,600.0,163.516483516,0.553954687288,9,751,460
133,3,200,Boxing-v0,-19.0,2.0,-0.45,0.951798174987,11,751,465
134,3,200,Gravitar-v0,0.0,100.0,0.215053763441,0.00191158900836,14,750,475
135,3,200,Centipede-v0,0.0,2235.0,230.362105263,0.222127346212,10,750,466
136,3,200,Bowling-v0,0.0,0.0,0.0,0.0,6,750,467
137,3,200,Alien-v0,0.0,140.0,100.535331906,0.692683068945,6,751,474
138,3,200,DoubleDunk-v0,-3.0,2.0,-0.0801687763713,0.938546647914,20,751,468
139,3,200,ChopperCommand-v0,0.0,600.0,142.735042735,0.490872639021,139,750,477
140,3,200,Alien-v0,0.0,140.0,116.666666667,0.786396459352,23,751,481
141,3,200,Asteroids-v0,0.0,430.0,44.0748440748,0.215163784661,11,751,475
142,3,200,Bowling-v0,0.0,0.0,0.0,0.0,6,751,487
143,3,200,Boxing-v0,-19.0,2.0,-0.911704312115,0.946741766141,22,750,491
144,3,200,DoubleDunk-v0,-6.0,2.0,-0.0529531568228,0.993890020367,7,750,480
145,3,200,Centipede-v0,0.0,2031.0,215.36875,0.23235325538,47,751,473
146,3,200,Gravitar-v0,0.0,100.0,0.211416490486,0.00187925769321,14,751,482
147,3,200,BattleZone-v0,0.0,1000.0,43.5684647303,0.0387275242047,6,751,470
148,3,200,Asteroids-v0,0.0,430.0,46.8085106383,0.228955144113,11,751,481
149,3,200,Boxing-v0,-21.0,2.0,-1.26195426195,0.933873236331,22,750,483
150,3,200,BattleZone-v0,0.0,1000.0,26.9151138716,0.0239245456637,6,751,487
151,3,200,Centipede-v0,0.0,2031.0,238.190965092,0.255153265337,47,750,484
152,3,200,ChopperCommand-v0,0.0,600.0,120.247933884,0.413835322926,139,750,477
153,3,200,Bowling-v0,0.0,0.0,0.0,0.0,6,750,474
154,3,200,DoubleDunk-v0,-2.0,2.0,-0.0654008438819,0.858180965776,7,751,478
155,3,200,Gravitar-v0,0.0,0.0,0.0,0.0,7,751,476
156,3,200,Alien-v0,0.0,140.0,108.634453782,0.748146877799,6,751,473
157,3,200,Alien-v0,0.0,140.0,122.875264271,0.811724266874,6,750,481
158,3,200,Bowling-v0,0.0,0.0,0.0,0.0,6,751,493
159,3,200,Asteroids-v0,0.0,430.0,42.8803245436,0.213829012704,11,751,482
160,3,200,Boxing-v0,-19.0,2.0,-1.10373443983,0.929084220133,82,750,479
161,3,200,Centipede-v0,0.0,1520.0,206.538622129,0.287568109924,84,750,475
162,3,200,DoubleDunk-v0,-2.0,2.0,-0.0210526315789,0.877660818713,5,751,481
163,3,200,Gravitar-v0,0.0,100.0,0.2079002079,0.001848001848,6,751,475
164,3,200,ChopperCommand-v0,0.0,600.0,143.789473684,0.491124106563,139,750,482
165,3,200,BattleZone-v0,0.0,1000.0,22.8215767635,0.020285846012,6,751,482
166,4,200,Boxing-v0,-19.0,2.0,-0.672199170124,0.951799684066,10,750,485
167,4,200,DoubleDunk-v0,-4.0,2.0,-0.0762886597938,0.974417716686,7,751,484
168,4,200,Frostbite-v0,0.0,40.0,2.85123966942,0.0665748393021,11,750,479
169,4,200,Atlantis-v0,0.0,700.0,14.1962421712,0.0352965124811,57,751,489
170,4,200,ChopperCommand-v0,0.0,600.0,150.306748466,0.516044333359,139,750,487
171,4,200,Bowling-v0,0.0,0.0,0.0,0.0,11,751,491
172,4,200,Alien-v0,0.0,140.0,112.83095723,0.782040446864,11,751,494
173,4,200,Asteroids-v0,0.0,430.0,38.9473684211,0.194518830254,11,750,491
174,4,200,Centipede-v0,0.0,2235.0,208.439918534,0.211324480459,10,750,480
175,4,200,Alien-v0,0.0,140.0,110.729166667,0.753590325019,10,750,475
176,4,200,ChopperCommand-v0,0.0,600.0,151.157894737,0.520025990903,139,750,489
177,4,200,Frostbite-v0,0.0,80.0,6.27811860941,0.123892297205,11,751,489
178,4,200,DoubleDunk-v0,-4.0,2.0,-0.0695296523517,0.974324017269,10,750,492
179,4,200,Asteroids-v0,0.0,480.0,55.243902439,0.249096657633,37,750,486
180,4,200,Atlantis-v0,0.0,700.0,8.02469135802,0.0197456211566,43,751,486
181,4,200,Centipede-v0,0.0,1433.0,270.127572016,0.37686379032,47,751,493
182,4,200,Bowling-v0,0.0,0.0,0.0,0.0,6,750,492
183,4,200,Boxing-v0,-16.0,2.0,-0.634146341463,0.959684164743,22,751,491
184,4,200,Boxing-v0,-19.0,2.0,-0.366598778004,0.952904357036,22,751,491
185,4,200,Bowling-v0,0.0,0.0,0.0,0.0,7,750,482
186,4,200,Frostbite-v0,0.0,80.0,5.16597510373,0.11428077455,11,751,477
