tpgGen,envGen,gamesPlayed,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams,champUid
8,2,120,500,FishingDerby-v0,-24.0,0.0,-18.796928327645052,0.4757879324147769,11,751,586,1759
8,2,121,500,BankHeist-v0,0.0,70.0,0.8873720136518771,0.026870361341351096,6,751,586,2500
8,2,122,500,DoubleDunk-v0,-6.0,2.0,-0.5392491467576792,0.9605612438376993,6,751,586,190
8,2,123,500,BattleZone-v0,0.0,10000.0,138.22525597269623,0.029306029579067115,6,751,586,2403
9,2,124,500,Gravitar-v0,0.0,600.0,5.902777777777778,0.01753257887517147,6,751,576,1380
9,2,125,500,FishingDerby-v0,-24.0,0.0,-18.649305555555557,0.48885459533607256,11,751,576,1759
9,2,126,500,Atlantis-v0,700.0,7700.0,1595.6597222222222,0.302522045855376,6,751,576,986
9,2,127,500,Frostbite-v0,0.0,160.0,7.34375,0.0813199266975308,9,751,576,2501
9,2,128,500,Alien-v0,0.0,320.0,24.774305555555557,0.15368501639660478,6,751,576,610
9,2,129,500,DoubleDunk-v0,-10.0,2.0,-0.5138888888888888,0.9828532235939574,6,751,576,190
9,2,130,500,Asteroids-v0,0.0,1080.0,114.25347222222223,0.22733423724364574,6,751,576,692
9,2,131,500,BankHeist-v0,0.0,70.0,1.0416666666666667,0.031242126480221708,6,751,576,2500
9,2,132,500,Freeway-v0,0.0,6.0,3.2378472222222223,0.7451989026063077,6,751,576,130
9,2,133,500,Bowling-v0,0.0,26.0,0.1579861111111111,0.012163050624589082,6,751,576,530
9,2,134,500,BattleZone-v0,0.0,10000.0,130.20833333333334,0.027716049382716032,6,751,576,2403
9,2,135,500,Boxing-v0,-65.0,18.0,-7.588541666666667,0.9822912802481633,6,751,576,1268
10,3,136,500,Gravitar-v0,0.0,600.0,4.173913043478261,0.011980676328502415,6,750,575,1380
10,3,137,500,Asteroids-v0,0.0,1080.0,109.6,0.21875350390648363,6,750,575,692
10,3,138,500,DoubleDunk-v0,-8.0,2.0,-0.5843478260869566,0.9784888888888874,6,750,575,190
10,3,139,500,FishingDerby-v0,-24.0,0.0,-18.624347826086957,0.4929092860976874,11,750,575,1759
10,3,140,500,Bowling-v0,0.0,26.0,0.1808695652173913,0.013373352771346079,6,750,575,530
10,3,141,500,Boxing-v0,-62.0,18.0,-7.467826086956522,0.9788927536231878,6,750,575,1268
10,3,142,500,Freeway-v0,0.0,6.0,3.2904347826086955,0.7409983896940397,6,750,575,130
10,3,143,500,BankHeist-v0,0.0,70.0,0.9739130434782609,0.029529724933451636,6,750,575,2500
10,3,144,500,ChopperCommand-v0,0.0,1100.0,140.34782608695653,0.28358845370703,16,750,575,1470
11,3,145,500,Boxing-v0,-46.0,18.0,-7.351063829787234,0.9435102073483066,6,750,564,1268
11,3,146,500,Freeway-v0,0.0,6.0,3.3049645390070923,0.7319849400227627,6,750,564,130
11,3,147,500,FishingDerby-v0,-24.0,0.0,-18.643617021276597,0.4913810086682383,11,750,564,1759
11,3,148,500,Gravitar-v0,0.0,600.0,6.205673758865248,0.018606076525698272,6,750,564,1380
11,3,149,500,DoubleDunk-v0,-4.0,2.0,-0.6843971631205674,0.8673496191226617,6,750,564,190
11,3,150,500,BankHeist-v0,0.0,70.0,1.1347517730496455,0.03435132918415591,6,750,564,2500
11,3,151,500,Asteroids-v0,0.0,1080.0,113.28014184397163,0.22619449119609708,6,750,564,692
11,3,152,500,ChopperCommand-v0,0.0,1100.0,143.61702127659575,0.2907475789487387,16,750,564,1470
11,3,153,500,Bowling-v0,0.0,26.0,0.16489361702127658,0.011824993821720494,6,750,564,530
12,3,154,500,Boxing-v0,-43.0,18.0,-7.455341506129598,0.9293080473557999,6,750,571,1268
12,3,155,500,Freeway-v0,0.0,6.0,3.392294220665499,0.7396164407256031,6,750,571,130
12,3,156,500,FishingDerby-v0,-24.0,0.0,-18.681260945709283,0.48949752437784666,11,750,571,1759
12,3,157,500,Gravitar-v0,0.0,600.0,7.1803852889667255,0.021880607986854334,6,750,571,1380
12,3,158,500,Bowling-v0,0.0,26.0,0.19089316987740806,0.014259215121400217,6,750,571,530
12,3,159,500,DoubleDunk-v0,-4.0,2.0,-0.7005253940455342,0.867959611684065,6,750,571,190
12,3,160,500,Asteroids-v0,0.0,1080.0,114.32574430823118,0.22857670611593112,6,750,571,692
12,3,161,500,BankHeist-v0,0.0,70.0,1.1033274956217163,0.033580741111389076,6,750,571,2500
