tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
103,21.33939490682549,Boxing-v0,-100.0,37.666666666666664,11.87920489296636,16,9376,293,219
104,21.573628311422137,Boxing-v0,-54.0,37.666666666666664,12.48706240487063,16,9376,299,221
105,21.80991605228848,Boxing-v0,-100.0,37.666666666666664,12.444947209653085,16,9376,292,218
106,22.021465991073185,Boxing-v0,-100.0,37.666666666666664,12.874617737003048,16,9376,295,219
107,22.243134763042132,Boxing-v0,-100.0,37.666666666666664,11.694063926940638,16,9376,299,224
108,22.4836913839976,Boxing-v0,-100.0,37.666666666666664,13.098214285714276,16,9376,289,217
109,22.68570441789097,Boxing-v0,-100.0,37.666666666666664,12.012288786482328,16,9376,286,215
110,22.90892986807558,Boxing-v0,-100.0,37.666666666666664,12.573643410852714,16,9376,290,218
111,23.108716182112694,Boxing-v0,-100.0,37.666666666666664,12.142201834862394,16,9376,291,218
112,23.337871344221963,Boxing-v0,-100.0,37.666666666666664,13.865443425076451,16,9376,290,220
113,23.544095160630015,Boxing-v0,-100.0,37.666666666666664,11.646969696969704,16,9376,290,213
114,23.757645852300858,Boxing-v0,-100.0,37.666666666666664,13.375586854460096,16,9376,291,222
115,23.98565976553493,Boxing-v0,-100.0,37.666666666666664,14.082582582582582,16,9376,284,213
116,24.193841764397092,Boxing-v0,-100.0,37.666666666666664,14.112676056338035,16,9376,291,217
117,24.414010580513214,Boxing-v0,-100.0,37.666666666666664,11.259600614439314,16,9376,296,217
118,24.644359809557596,Boxing-v0,-100.0,37.666666666666664,11.909370199692791,16,9376,299,218
119,24.87704579161273,Boxing-v0,-100.0,37.666666666666664,13.599388379204886,16,9376,300,220
120,25.123196776509285,Boxing-v0,-100.0,37.666666666666664,14.449999999999994,16,9376,296,221
121,25.328685869707,Boxing-v0,-100.0,37.666666666666664,14.499245852187025,16,9376,287,215
122,25.534254181782405,Boxing-v0,-100.0,37.666666666666664,14.655813953488366,16,9376,299,216
123,25.772414115667342,Boxing-v0,-100.0,37.666666666666664,12.313271604938272,16,9376,299,225
124,26.011048960751957,Boxing-v0,-100.0,37.666666666666664,14.048888888888884,16,9376,288,219
125,26.218351792825594,Boxing-v0,-41.0,37.666666666666664,15.844748858447481,16,9376,286,209
126,26.404187385704784,Boxing-v0,-100.0,37.666666666666664,10.105263157894733,16,9376,293,217
127,26.626405038105116,Boxing-v0,-54.0,37.666666666666664,12.666666666666666,16,9376,292,220
128,26.846123419205348,Boxing-v0,-100.0,37.666666666666664,13.834848484848493,16,9376,286,218
129,27.05325281553798,Boxing-v0,-100.0,37.666666666666664,15.073394495412838,16,9376,285,217
130,27.273818022410076,Boxing-v0,-100.0,37.666666666666664,15.05990783410137,16,9376,280,217
131,27.472863394419353,Boxing-v0,-54.0,37.666666666666664,15.185867895545318,16,9376,291,211
132,27.703415064877934,Boxing-v0,-100.0,37.666666666666664,11.890995260663505,16,9376,295,220
133,27.92592717435625,Boxing-v0,-100.0,37.666666666666664,13.77727272727273,16,9376,289,219
134,28.143841799232696,Boxing-v0,-100.0,37.666666666666664,14.336377473363779,16,9376,285,213
135,28.37634097410573,Boxing-v0,-100.0,37.666666666666664,14.68701095461659,16,9376,286,218
136,28.580161703030267,Boxing-v0,-100.0,37.666666666666664,13.850152905198781,16,9376,293,215
137,28.812298315432336,Boxing-v0,-75.33333333333333,37.666666666666664,13.170542635658908,16,9376,299,224
138,29.01292063885265,Boxing-v0,-100.0,37.666666666666664,11.92857142857142,16,9376,295,220
139,29.239559006757208,Boxing-v0,-100.0,37.666666666666664,14.86060606060606,16,9376,281,212
140,29.43840760310491,Boxing-v0,-100.0,37.666666666666664,13.949685534591193,16,9376,289,210
141,29.668981357415518,Boxing-v0,-100.0,37.666666666666664,13.515873015873014,16,9376,290,217
142,29.883621451722252,Boxing-v0,-100.0,37.666666666666664,13.526881720430099,16,9376,293,211
143,30.09196263220575,Boxing-v0,-61.0,37.666666666666664,15.259083728278053,16,9376,297,218
144,30.32723681761159,Boxing-v0,-100.0,37.666666666666664,13.142201834862387,16,9376,288,217
145,30.540435550610223,Boxing-v0,-54.0,37.666666666666664,15.993855606758828,16,9376,289,209
146,30.75434461116791,Boxing-v0,-100.0,38.0,13.143540669856463,24,16052,296,219
147,30.984364255865415,Boxing-v0,-54.0,38.0,14.063926940639272,24,16052,298,221
148,31.212697020106845,Boxing-v0,-100.0,38.0,14.730015082956264,24,16052,293,215
149,31.424967044525676,Boxing-v0,-100.0,38.0,13.463565891472879,24,16052,307,219
150,31.66839120467504,Boxing-v0,-100.0,38.0,11.526636225266364,24,16052,309,221
151,31.894319768945376,Boxing-v0,-100.0,38.0,13.594268476621409,24,16052,298,223
152,32.09979503876633,Boxing-v0,-100.0,38.0,15.201793721973091,24,16052,286,216
153,32.30268876598941,Boxing-v0,-100.0,38.0,15.370370370370354,24,16052,294,211
154,32.52754418750604,Boxing-v0,-100.0,38.0,12.382306477093211,24,16052,294,220
155,32.7472217379676,Boxing-v0,-100.0,38.0,14.92878787878788,24,16052,294,216
156,32.97499389641815,Boxing-v0,-100.0,38.0,13.41203703703704,24,16052,296,214
157,33.18867692655987,Boxing-v0,-61.0,38.0,15.009345794392528,24,16052,299,218
158,33.41867423256238,Boxing-v0,-100.0,38.0,14.41437308868502,24,16052,296,220
159,33.64502846605248,Boxing-v0,-100.0,38.0,14.112121212121215,24,16052,290,217
160,33.84190445330408,Boxing-v0,-100.0,38.0,14.620583717357917,24,16052,291,212
161,34.053677114513185,Boxing-v0,-100.0,38.0,13.672955974842765,24,16052,297,217
162,34.2887425661087,Boxing-v0,-100.0,38.0,14.577572964669729,24,16052,290,219
